Name,YearPublished,GameWeight,AvgRating,MaxPlayers
Die Macher,1986,4.3206,7.61428,5
Dragonmaster,1981,1.963,6.64537,4
Samurai,1998,2.4859,7.45601,4
Tal der Könige,1992,2.6667,6.60006,4
Acquire,1964,2.5031,7.33861,6
Mare Mediterraneum,1989,3,6.5537,6
Cathedral,1978,1.795,6.52083,2
Lords of Creation,1993,2.4,6.10716,5
El Caballero,1998,3.1824,6.45265,4
Elfenland,1998,2.1578,6.69695,6
Bohnanza,1997,1.6751,7.04068,7
Ra,1999,2.3498,7.47924,5
Catan,1995,2.3139,7.13746,4
Basari,1998,1.8571,6.75682,4
Cosmic Encounter,1977,2.3747,6.91053,6
MarraCash,1996,2.1505,6.83223,4
Button Men,1999,1.527,6.37009,2
RoboRally,1994,2.4302,7.07714,8
Wacky Wacky West,1991,1.8365,6.29107,4
Full Metal Planète,1988,3.1639,7.48874,4
Gateway to the Stars,1994,3,5.5,7
Magic Realm,1979,4.5277,7.21002,16
Divine Right,1979,3.1781,7.13465,6
Twilight Imperium,1997,3.4906,6.62609,6
Battlemist,1998,3.2,5.92531,6
Age of Renaissance,1996,3.8598,7.09678,6
Supremacy: The Game of the Superpowers,1984,3.1271,5.65347,6
Illuminati,1987,2.6472,6.4816,8
Terrain Vague,1993,3.25,6.68521,4
Dark Tower,1981,1.81,6.84482,4
Dark World,1991,1.9259,5.36587,5
Buffalo Chess,1975,1.5417,6.06147,2
Arkham Horror,1987,2.3958,6.64889,8
Federation & Empire,1986,4.4032,6.40295,8
Dragon Masters,1991,2.0909,5.8106,4
Runes,1981,1.9,6.16082,4
Darkover,1979,2.5,5.29583,4
Borderlands,1982,2.7826,6.73841,4
Can't Stop,1980,1.1553,6.85195,4
Tigris & Euphrates,1997,3.5064,7.69599,4
Airlines,1990,2.4242,6.58402,6
David & Goliath,1997,1.6257,6.45438,6
Perudo,1800,1.2625,6.90371,6
Medici,1995,2.2555,7.15626,6
Chinatown,1999,2.2685,7.35277,5
Krieg und Frieden,1999,2.4638,6.09125,4
Mamma Mia!,1998,1.3693,6.47074,5
Lost Cities,1999,1.4921,7.18784,2
Ricochet Robots,1999,2.4107,7.01391,99
Mighty Empires,1990,2.6,6.16538,3
Brauerei,1996,3,5.96143,6
Tikal,1999,2.7906,7.33204,4
Sophie's World,1998,1.5556,4.87444,6
Schoko & Co.,1987,2.9149,6.65293,4
Kings & Things,1986,2.6437,6.50457,4
Giganten,1999,2.5693,6.69704,4
Vinci,1999,2.7813,7.07778,6
Fossil,1998,1.7451,5.44069,6
Curse of the Mummy's Tomb,1988,1.88,5.31848,4
